,return,variance
0,0,0
1,0.012959033,0.089287368
2,0.006748701,0.077896698
3,0.007008152,0.081353246
4,0.011872334,0.073887113
5,0.013942222,0.066301817
6,0.011917093,0.094543008
7,0.017851334,0.078174298
8,0.010343507,0.066930626
9,0.013409987,0.077388489
10,0.015128638,0.089419012
11,0.016619076,0.090472001
12,0.013801012,0.091113891
13,0.015387433,0.084378608
14,0.014656683,0.081652816
15,0.01081895,0.096374545
16,0.015769619,0.087477435
17,0.016184891,0.07328196
18,0.023398658,0.06880173
19,0.010228471,0.083798679
20,0.019273373,0.080341645
21,0.016632406,0.095623669
22,0.013793892,0.08084283
23,0.014190404,0.06893697
24,0.016978176,0.095232329
25,0.016469982,0.091370808
26,0.010560534,0.078814585
27,0.011012207,0.082823436
28,0.015978936,0.071506732
29,0.016584535,0.084579084
30,0.015594106,0.086395292
31,0.009295201,0.062401459
32,0.017251161,0.080569509
33,0.012769884,0.081709305
34,0.015255089,0.085959162
35,0.015572201,0.064724175
36,0.016972506,0.095707792
37,0.019917431,0.09372254
38,0.016350816,0.077211256
39,0.015446874,0.087425613
40,0.018756862,0.055288024
41,0.012210482,0.081630007
42,0.014104631,0.08869518
43,0.010920556,0.084216673
44,0.009189767,0.06800346
45,0.015848091,0.098763161
46,0.015893344,0.079955141
47,0.016882611,0.079082117
48,0.016702124,0.089040191
49,0.001724604,0.015882909
50,0.008672824,0.030560885
51,0.013859555,0.094273207
52,0.011819512,0.088107894
53,0.013040392,0.098568073
54,0.01335664,0.087868092
55,0.013818329,0.092049191
56,0.008861057,0.095205073
57,0.016400967,0.069041028
58,0.009319014,0.085828344
59,0.016616433,0.098367
60,0.015031567,0.088707242
61,0.014250893,0.090934394
62,0.012023849,0.084775284
63,0.010793961,0.084184744
64,0.010792612,0.089341993
65,0.012944215,0.089031831
66,0.015537386,0.099593756
67,0.010138292,0.080810359
68,0.012706765,0.093204237
69,0.012817391,0.085399197
70,0.013464113,0.091469377
71,0.011504083,0.089665697
72,0.011654502,0.088162529
73,0.012755823,0.090973051
74,0.012552721,0.082655309
75,0.013542939,0.092947312
76,0.013899676,0.064942152
77,0.004876215,0.086267704
78,0.011336682,0.083077587
79,0.013010823,0.091607944
80,0.002671845,0.053121164
81,0.015140246,0.091843041
82,0.013910262,0.09396826
83,0.015554545,0.092408909
84,0.013947938,0.081820828
85,0.01522714,0.082896807
86,0.013965038,0.098354196
87,0.013660664,0.086294561
88,0.009763614,0.084324415
89,0.013364515,0.090247168
90,0.0147864,0.089011339
91,0.013789618,0.092234254
92,0.01020559,0.094071436
93,0.014090734,0.090881529
94,0.012504518,0.094432058
95,0.015329551,0.08517698
96,0.018521145,0.086362993
97,0.014156177,0.068443083
98,0.018522856,0.097680845
99,0.016428893,0.099215243
100,0.018414765,0.098573372
101,0.013213345,0.093599211
102,0.017788573,0.079396177
103,0.01619235,0.073477958
104,0.014654413,0.088283612
105,0.016736627,0.093333781
106,0.017336146,0.099436377
107,0.015127956,0.092365282
108,0.009484182,0.094882249
109,0.012032477,0.089194615
110,0.016161114,0.092509032
111,0.016925494,0.096871938
112,0.017064674,0.098947281
113,0.016536471,0.09616799
114,0.014395936,0.093554699
115,0.01965425,0.096733218
116,0.016601964,0.096912463
117,0.019362662,0.098071459
118,0.015817456,0.073194413
119,0.003970788,0.078154475
120,0.01826396,0.081876174
121,0.011959652,0.077257336
122,0.011400255,0.075252611
123,0.015499681,0.090680592
124,0.013704768,0.093174495
125,0.014811488,0.095569308
126,0.015665126,0.07891461
127,0.015429991,0.088374869
128,0.012198745,0.097337528
129,0.012548233,0.084458167
130,0.0116431,0.070934351
131,0.009193463,0.074778638
132,0.012635317,0.084987429
133,0.011769743,0.098621506
134,0.013209553,0.075734898
135,0.012669947,0.082531458
136,0.00912262,0.064367402
137,0.017778637,0.084263175
138,0.014920822,0.068198568
139,0.015516667,0.084905147
140,0.013041846,0.068930312
141,0.014250117,0.090721886
142,0.013226817,0.078807564
143,0.017922458,0.077807512
144,0.015538879,0.091549391
145,0.010390775,0.079772325
146,0.013189369,0.079175183
147,0.015435247,0.09839036
148,0.015317312,0.096944072
149,0.009105906,0.06923137
150,0.008724157,0.069293331
151,0.009256994,0.080805589
152,0.012341608,0.07723362
153,0.014970559,0.077930759
154,0.015575941,0.079696444
155,0.01402326,0.092071836
156,0.016590778,0.081176473
157,0.015285984,0.08023368
158,0.021382062,0.099896343
159,0.017520262,0.083955769
160,0.014824009,0.083247807
161,0.011051648,0.07400002
162,0.015612752,0.086704783
163,0.014884452,0.085910306
164,0.015728363,0.072901864
165,0.018155324,0.074723078
166,0.015234933,0.096936712
167,0.013809166,0.070598385
168,0.014134131,0.095294947
169,0.013797773,0.084131134
170,0.016878516,0.080936199
171,0.013481564,0.085332253
172,0.014330255,0.075998277
173,0.016108908,0.096940192
174,0.014433018,0.081178445
175,0.015219846,0.090660763
176,0.016983159,0.089696902
177,0.0185722,0.092103341
178,0.018839311,0.074436622
179,0.013994285,0.080415848
180,0.01379272,0.078849171
181,0.011054402,0.093558758
182,0.015651966,0.07154162
183,0.013390384,0.073268505
184,0.008621944,0.085289599
185,0.014105799,0.094777491
186,0.004910054,0.047434844
187,0.013600811,0.086123972
188,0.014953223,0.077340058
189,0.017311025,0.083372938
190,0.014776165,0.068937172
191,0.016630336,0.061517591
192,0.012533783,0.097784854
193,0.016893736,0.081101942
194,0.014278482,0.068238955
